Vendor_ID,Vendor_Name,Contact_Person,Phone,Email,City,Material_Supplied,Rating
VND_200,UltraTech Concrete Solutions,Karthik Raja,+91 80621 74042,info@ultratechconcretesolutions.in,Chennai,Steel Rebars,4.8
VND_201,Pidilite Industries,Manoj Mishra,+91 77846 17592,info@pidiliteindustries.in,Hyderabad,Steel Rebars,3.6
VND_202,Berger Paints India,Suresh Kumar,+91 94923 79822,info@bergerpaintsindia.in,Bengaluru,Sand,4.4
VND_203,Supreme Industries,Sanjay Gupta,+91 78685 79163,info@supremeindustries.in,Kochi,Tiles,4.9
VND_204,Supreme Industries,Manish Pandey,+91 93918 36365,info@supremeindustries.in,Mumbai,Tiles,4.9
VND_205,Polycab India,Krishna Murthy,+91 84355 77839,info@polycabindia.in,Ahmedabad,Steel Rebars,3.8
VND_206,Tata Steel Aashiyana,Arjun Rao,+91 70689 87110,info@tatasteelaashiyana.in,Kolkata,Aggregate,4.3
VND_207,UltraTech Concrete Solutions,Suresh Kumar,+91 93194 92719,info@ultratechconcretesolutions.in,Chennai,Aggregate,3.6
VND_208,UltraTech Concrete Solutions,Arjun Rao,+91 72321 77391,info@ultratechconcretesolutions.in,Hyderabad,Bricks,4.4
VND_209,Ambuja Cements Ltd,Mehaavarshini J,+91 74335 84847,info@ambujacementsltd.in,Kochi,Electrical Cables,3.8
VND_210,Berger Paints India,Pranav Reddy,+91 76239 22363,info@bergerpaintsindia.in,Coimbatore,Tiles,4.0
VND_211,Asian Paints Ltd,Sandeep Choudhury,+91 98306 17100,info@asianpaintsltd.in,Coimbatore,Cement,4.1
VND_212,Kajaria Ceramics,Anil Mehta,+91 78147 35112,info@kajariaceramics.in,Hyderabad,Plumbing Pipes,4.1
VND_213,Asian Paints Ltd,Sanjay Gupta,+91 79127 70637,info@asianpaintsltd.in,Hyderabad,Steel Rebars,4.1
VND_214,J Building Materials,Anil Mehta,+91 71657 95477,info@jbuildingmaterials.in,Kolkata,Cement,4.9
VND_215,Pandey Building Materials,Vijay Joshi,+91 75449 63269,info@pandeybuildingmaterials.in,Ahmedabad,Electrical Cables,3.8
VND_216,Nair Building Materials,Amit Patel,+91 75394 59672,info@nairbuildingmaterials.in,Chennai,Tiles,3.9
VND_217,Choudhury Building Materials,Manoj Mishra,+91 83861 82845,info@choudhurybuildingmaterials.in,Ahmedabad,Sand,3.8
VND_218,Verma Building Materials,Amit Patel,+91 88978 81066,info@vermabuildingmaterials.in,Chennai,Paint,3.6
VND_219,E Building Materials,Lakshana G S,+91 86477 79615,info@ebuildingmaterials.in,Bengaluru,Cement,4.8
