Estimate_ID,Project_ID,Building_Type,Area_sqft,Floors,Material_Cost,Labour_Cost,Machinery_Cost,Other_Cost,GST,Estimated_Total_Cost
EST_600,PRJ_100,Commercial,148562,17,209026734,80664514.28,24034988.79,13880604.61,58969231.5,386576073.18
EST_601,PRJ_100,Infrastructure,120825,1,159368175,64073064.08,27362208.29,11863589.8,47280066.69,309947103.86
EST_602,PRJ_100,Infrastructure,121780,1,152955680,56289960.87,23145985.29,11141280.07,43835923.12,287368829.35
EST_603,PRJ_100,Commercial,126209,22,191206635,78106383.03,26691465.55,17365895.45,56406668.23,369777047.26
EST_604,PRJ_100,Infrastructure,62121,1,111320832,34615705.74,15848717.74,9464412.97,30824940.32,202074608.77
EST_605,PRJ_100,Infrastructure,20795,1,26409650,11829425.94,3887688.52,1699580.75,7888742.14,51715087.35
EST_606,PRJ_100,Commercial,40501,25,66016630,23513086.21,12485947.08,4781377.0,19223467.25,126020507.54
EST_607,PRJ_101,Residential,26037,22,45616824,14595033.09,8486036.56,2551424.62,12824877.29,84074195.56
EST_608,PRJ_101,Infrastructure,108037,1,188092417,60020678.32,37218305.07,17255801.59,54465696.36,357052898.34
EST_609,PRJ_101,Commercial,83214,15,146206998,53163672.3,20165987.18,8989274.59,41134667.77,269660599.84
EST_610,PRJ_101,Residential,95743,5,141891126,46578893.32,26607539.94,12525367.7,40968526.85,268571453.81
EST_611,PRJ_101,Commercial,114901,20,139719616,46959755.13,14912147.51,11135263.21,38290820.73,251017602.58
EST_612,PRJ_101,Residential,17760,8,22111200,7967545.44,2729272.27,1345764.15,6147680.73,40301462.59
EST_613,PRJ_101,Commercial,41735,17,62435560,20923668.82,11965132.19,4920266.57,18044032.96,118288660.54
EST_614,PRJ_101,Infrastructure,89060,1,128424520,44340448.91,14682267.25,10660599.18,35659410.36,233767245.7
EST_615,PRJ_102,Residential,83774,9,105722788,40545505.14,16827548.57,9172573.1,31008314.67,203276729.48
EST_616,PRJ_102,Commercial,116988,18,199698516,61313957.49,26847764.64,16408388.98,54768352.88,359036979.99
EST_617,PRJ_102,Residential,142484,11,231678984,83691455.89,30115684.57,13713993.95,64656021.31,423856139.72
EST_618,PRJ_102,Infrastructure,129130,1,186721980,79805187.08,24287607.96,15942106.03,55216238.59,361973119.66
EST_619,PRJ_102,Residential,20105,18,32610310,14517064.14,5078360.39,1849155.81,9729880.26,63784770.6
EST_620,PRJ_102,Commercial,71845,7,110497610,43868200.65,21240139.04,10205191.22,33446005.36,219257146.27
EST_621,PRJ_102,Commercial,145413,24,202851135,62423480.06,27936008.68,16278493.69,55708041.14,365197158.57
EST_622,PRJ_103,Commercial,54325,25,96263900,32012798.51,11637237.83,9178920.87,26836714.3,175929571.51
EST_623,PRJ_103,Residential,9019,7,12572486,5586101.79,1404744.23,1256979.55,3747656.08,24567967.65
EST_624,PRJ_103,Residential,68594,23,96648946,34744794.38,11978003.09,6386634.88,26956508.1,176714886.45
EST_625,PRJ_103,Residential,104788,15,182959848,72691448.06,23938874.23,12438018.63,52565074.01,344593262.93
EST_626,PRJ_103,Residential,127160,4,213628800,88494522.41,28203985.23,12851134.11,61772119.52,404950561.27
EST_627,PRJ_103,Residential,113509,2,201591984,86606481.83,35102252.17,10243089.3,60037885.31,393581692.61
EST_628,PRJ_103,Infrastructure,114465,1,171926430,55508461.45,22863899.1,11861546.32,47188860.64,309349197.51
EST_629,PRJ_104,Residential,149347,21,230741115,78128713.95,42031615.52,22687715.51,67246048.8,440835208.78
EST_630,PRJ_104,Infrastructure,133606,1,223255626,72610553.99,40073838.21,13052257.41,62818609.61,411810885.22
EST_631,PRJ_104,Infrastructure,148273,1,252064100,82578005.43,47624096.98,25084455.6,73323118.44,480673776.45
EST_632,PRJ_104,Commercial,142348,2,181636048,80242849.37,30300807.85,16023376.74,55476554.75,363679636.71
EST_633,PRJ_104,Residential,41042,21,58936312,18281760.57,6783744.24,3591342.14,15766768.61,103359927.56
EST_634,PRJ_104,Residential,102832,2,174197408,69486065.93,17693784.1,13345372.17,49450073.44,324172703.64
EST_635,PRJ_104,Residential,8106,1,14120652,5765870.41,2168562.33,908444.05,4133435.18,27096963.97
EST_636,PRJ_105,Commercial,33053,4,57380008,18495563.24,6839307.1,4379402.83,15676970.61,102771251.78
EST_637,PRJ_105,Residential,75077,13,96098560,34207026.0,13511720.94,7519722.81,27240665.36,178577695.11
EST_638,PRJ_105,Infrastructure,64207,1,96759949,38956159.62,17879952.66,8000769.19,29087429.48,190684259.95
EST_639,PRJ_105,Infrastructure,13305,1,17229975,6216432.74,2372859.72,1271576.55,4876351.92,31967195.93
EST_640,PRJ_105,Infrastructure,7477,1,10280875,3211775.35,1897160.5,845554.29,2922365.73,19157730.87
EST_641,PRJ_105,Residential,29998,17,37287514,12471367.42,7089374.21,3155060.09,10800596.83,70803912.55
EST_642,PRJ_105,Infrastructure,129649,1,191491573,58784905.65,20572859.99,18436663.21,52071480.33,341357482.18
EST_643,PRJ_105,Infrastructure,13625,1,18843375,8278176.42,2476932.8,1848034.97,5660373.45,37106892.64
EST_644,PRJ_106,Infrastructure,109410,1,139825980,48224796.66,21868198.79,10953239.62,39756998.71,260629213.78
EST_645,PRJ_106,Residential,146705,11,233701065,96598322.98,26640766.79,23235470.82,68431612.61,448607238.2
EST_646,PRJ_106,Infrastructure,25559,1,43757008,18019944.71,5889078.48,2401572.29,12612168.63,82679772.11
EST_647,PRJ_106,Commercial,24927,11,40032762,17828113.33,5309852.06,3270922.75,11959497.03,78401147.17
EST_648,PRJ_106,Residential,133608,8,208962912,80023529.62,28741323.03,12388761.66,59420974.74,389537501.05
EST_649,PRJ_106,Infrastructure,104633,1,134662671,55996120.06,17443926.08,8392512.84,38969141.4,255464371.38
EST_650,PRJ_106,Commercial,26505,9,35967285,12840320.71,6416169.02,2075810.29,10313925.3,67613510.32
EST_651,PRJ_107,Residential,99555,4,128724615,38717697.45,16840622.45,8752742.81,34746421.99,227782099.7
