Risk_ID,Project_ID,Risk_Type,Probability,Impact,Risk_Level,Recommended_Action,Status
RSK_1000,PRJ_112,Supply Chain,High,Critical,High,Diversify material vendors,Mitigated
RSK_1001,PRJ_111,Environmental,Medium,High,Medium,Implement weather tracking protocols,Active
RSK_1002,PRJ_104,Technical Labor,Low,Medium,Medium,Initiate specialized training programs,Mitigated
RSK_1003,PRJ_101,Environmental,Medium,Medium,Medium,Implement weather tracking protocols,Monitored
RSK_1004,PRJ_109,Technical Labor,High,High,High,Initiate specialized training programs,Mitigated
RSK_1005,PRJ_105,Environmental,Low,Medium,Medium,Implement weather tracking protocols,Active
RSK_1006,PRJ_112,Financial,Low,High,Medium,Maintain a cash buffer,Active
RSK_1007,PRJ_102,Regulatory,Low,Medium,Medium,Expedite legal approvals,Active
RSK_1008,PRJ_112,Regulatory,Low,High,Medium,Expedite legal approvals,Monitored
RSK_1009,PRJ_104,Technical Labor,Low,Critical,High,Initiate specialized training programs,Active
RSK_1010,PRJ_108,Technical Labor,High,High,High,Initiate specialized training programs,Monitored
RSK_1011,PRJ_110,Environmental,Medium,High,Medium,Implement weather tracking protocols,Mitigated
RSK_1012,PRJ_104,Financial,Medium,Medium,Medium,Maintain a cash buffer,Monitored
RSK_1013,PRJ_108,Supply Chain,Low,Critical,High,Diversify material vendors,Active
RSK_1014,PRJ_102,Technical Labor,High,Medium,High,Initiate specialized training programs,Monitored
RSK_1015,PRJ_113,Environmental,Low,High,Medium,Implement weather tracking protocols,Active
RSK_1016,PRJ_106,Financial,Medium,High,Medium,Maintain a cash buffer,Active
RSK_1017,PRJ_107,Environmental,High,Critical,High,Implement weather tracking protocols,Active
RSK_1018,PRJ_102,Financial,Medium,High,Medium,Maintain a cash buffer,Mitigated
RSK_1019,PRJ_114,Financial,Medium,Critical,High,Maintain a cash buffer,Mitigated
RSK_1020,PRJ_112,Regulatory,Low,High,Medium,Expedite legal approvals,Mitigated
RSK_1021,PRJ_105,Regulatory,Low,Critical,High,Expedite legal approvals,Active
RSK_1022,PRJ_112,Environmental,High,High,High,Implement weather tracking protocols,Monitored
RSK_1023,PRJ_110,Supply Chain,High,Critical,High,Diversify material vendors,Mitigated
