Weather_ID,Project_ID,Date,Temperature,Humidity,Rainfall_mm,Wind_Speed,Weather_Condition
WTH_1300,PRJ_107,2025-06-17,26.9,50,0.0,19.8,Windy
WTH_1301,PRJ_112,2025-07-24,40.0,71,27.6,21.7,Thunderstorm
WTH_1302,PRJ_100,2025-07-16,39.0,62,23.1,30.8,Heavy Rain
WTH_1303,PRJ_108,2025-06-05,37.7,61,0.0,8.4,Cloudy
WTH_1304,PRJ_103,2025-06-16,33.6,71,84.5,28.5,Thunderstorm
WTH_1305,PRJ_112,2025-06-06,37.1,75,77.2,30.6,Thunderstorm
WTH_1306,PRJ_113,2025-08-05,34.3,46,0.0,32.8,Sunny
WTH_1307,PRJ_107,2025-09-11,31.8,93,0.0,34.2,Sunny
WTH_1308,PRJ_112,2025-08-18,34.4,94,0.0,29.7,Sunny
WTH_1309,PRJ_100,2025-08-04,25.8,80,0.0,31.1,Sunny
WTH_1310,PRJ_114,2025-07-17,26.7,58,0.0,27.9,Cloudy
WTH_1311,PRJ_107,2025-09-02,38.8,49,35.1,9.1,Thunderstorm
WTH_1312,PRJ_113,2025-06-26,31.5,66,0.0,12.4,Sunny
WTH_1313,PRJ_112,2025-07-31,29.8,72,16.4,16.2,Heavy Rain
WTH_1314,PRJ_112,2025-07-24,30.1,82,21.4,27.6,Heavy Rain
WTH_1315,PRJ_106,2025-09-09,27.9,91,0.0,17.4,Cloudy
WTH_1316,PRJ_106,2025-09-23,31.8,94,0.0,28.8,Windy
WTH_1317,PRJ_105,2025-09-29,24.5,49,0.0,26.5,Sunny
WTH_1318,PRJ_108,2025-09-29,25.2,61,40.1,28.2,Thunderstorm
WTH_1319,PRJ_106,2025-06-08,30.7,42,77.7,6.7,Heavy Rain
WTH_1320,PRJ_110,2025-08-31,37.6,73,41.4,31.6,Thunderstorm
WTH_1321,PRJ_111,2025-08-10,38.9,86,78.2,5.2,Thunderstorm
WTH_1322,PRJ_104,2025-09-24,33.0,49,0.0,18.4,Cloudy
WTH_1323,PRJ_103,2025-09-22,33.3,90,0.0,24.6,Windy
WTH_1324,PRJ_111,2025-07-15,39.1,90,0.0,28.3,Cloudy
WTH_1325,PRJ_114,2025-07-09,25.4,74,39.2,26.6,Thunderstorm
WTH_1326,PRJ_114,2025-06-17,32.8,74,26.0,20.4,Thunderstorm
WTH_1327,PRJ_104,2025-08-06,29.8,80,11.8,31.7,Heavy Rain
WTH_1328,PRJ_108,2025-08-15,28.4,93,64.5,34.6,Thunderstorm
WTH_1329,PRJ_101,2025-09-02,25.0,63,57.0,15.6,Thunderstorm
WTH_1330,PRJ_100,2025-09-05,35.1,47,0.0,13.9,Cloudy
WTH_1331,PRJ_111,2025-06-01,31.7,55,0.0,22.0,Windy
WTH_1332,PRJ_114,2025-09-29,34.7,74,0.0,12.0,Windy
WTH_1333,PRJ_104,2025-07-07,35.3,92,0.0,25.2,Windy
WTH_1334,PRJ_111,2025-07-19,32.8,55,0.0,14.8,Sunny
WTH_1335,PRJ_109,2025-06-25,38.0,63,0.0,7.9,Cloudy
WTH_1336,PRJ_111,2025-07-25,38.1,45,0.0,6.9,Sunny
WTH_1337,PRJ_114,2025-06-17,32.1,68,0.0,16.1,Sunny
WTH_1338,PRJ_108,2025-07-22,34.0,73,0.0,31.2,Cloudy
WTH_1339,PRJ_109,2025-08-03,34.8,68,0.0,27.0,Cloudy
WTH_1340,PRJ_106,2025-09-14,26.8,72,46.4,18.7,Heavy Rain
WTH_1341,PRJ_111,2025-08-05,38.7,47,44.2,6.0,Heavy Rain
WTH_1342,PRJ_102,2025-09-29,33.5,47,0.0,30.6,Windy
WTH_1343,PRJ_101,2025-06-16,30.3,58,0.0,20.7,Sunny
WTH_1344,PRJ_101,2025-07-18,29.2,63,32.0,5.8,Thunderstorm
WTH_1345,PRJ_102,2025-06-19,37.3,66,0.0,33.1,Sunny
WTH_1346,PRJ_104,2025-09-22,28.8,51,0.0,5.1,Cloudy
WTH_1347,PRJ_108,2025-07-15,25.1,42,0.0,19.4,Cloudy
WTH_1348,PRJ_104,2025-08-12,31.7,61,0.0,19.3,Cloudy
WTH_1349,PRJ_111,2025-09-15,34.3,88,47.9,18.8,Heavy Rain
WTH_1350,PRJ_107,2025-08-25,31.6,95,16.7,23.7,Thunderstorm
WTH_1351,PRJ_109,2025-07-23,30.6,65,50.6,33.7,Thunderstorm
WTH_1352,PRJ_114,2025-07-27,36.5,81,0.0,31.0,Sunny
WTH_1353,PRJ_111,2025-06-04,33.7,90,52.1,8.7,Thunderstorm
WTH_1354,PRJ_108,2025-06-11,27.3,79,0.0,22.3,Windy
WTH_1355,PRJ_100,2025-08-12,32.9,88,0.0,20.1,Cloudy
WTH_1356,PRJ_100,2025-06-16,35.2,74,82.2,13.2,Heavy Rain
WTH_1357,PRJ_103,2025-07-02,38.1,93,0.0,18.3,Windy
WTH_1358,PRJ_112,2025-08-08,34.3,65,0.0,6.3,Windy
WTH_1359,PRJ_113,2025-09-28,24.4,67,41.1,30.8,Heavy Rain
WTH_1360,PRJ_105,2025-07-19,28.4,47,0.0,21.3,Sunny
WTH_1361,PRJ_104,2025-06-19,27.1,89,0.0,9.6,Sunny
WTH_1362,PRJ_106,2025-08-26,26.9,79,23.6,26.4,Thunderstorm
WTH_1363,PRJ_104,2025-07-20,25.7,49,0.0,31.8,Cloudy
WTH_1364,PRJ_104,2025-07-19,40.0,47,0.0,11.1,Sunny
WTH_1365,PRJ_112,2025-08-16,34.0,71,0.0,27.6,Windy
WTH_1366,PRJ_106,2025-06-15,28.6,60,0.0,21.6,Cloudy
WTH_1367,PRJ_101,2025-08-01,24.5,80,78.5,5.6,Heavy Rain
WTH_1368,PRJ_108,2025-08-15,35.5,55,0.0,24.5,Windy
WTH_1369,PRJ_102,2025-07-09,33.7,68,0.0,30.4,Sunny
WTH_1370,PRJ_108,2025-06-27,37.3,49,50.5,10.0,Thunderstorm
WTH_1371,PRJ_103,2025-08-08,40.2,75,0.0,6.3,Cloudy
WTH_1372,PRJ_113,2025-07-30,40.3,79,59.0,10.0,Thunderstorm
WTH_1373,PRJ_100,2025-09-28,39.7,57,0.0,12.5,Windy
WTH_1374,PRJ_110,2025-07-19,41.0,93,53.9,20.3,Heavy Rain
WTH_1375,PRJ_100,2025-06-21,36.6,76,0.0,14.0,Sunny
WTH_1376,PRJ_106,2025-08-29,26.1,48,0.0,35.0,Windy
WTH_1377,PRJ_114,2025-07-26,27.6,72,76.3,33.4,Thunderstorm
WTH_1378,PRJ_110,2025-07-04,40.7,85,0.0,13.2,Cloudy
WTH_1379,PRJ_110,2025-07-12,29.8,69,0.0,14.9,Windy
WTH_1380,PRJ_114,2025-08-28,26.3,40,0.0,19.3,Windy
WTH_1381,PRJ_114,2025-06-02,35.4,66,0.0,31.9,Windy
WTH_1382,PRJ_111,2025-08-02,37.0,74,0.0,28.6,Sunny
WTH_1383,PRJ_110,2025-08-23,25.3,41,0.0,25.2,Cloudy
WTH_1384,PRJ_105,2025-09-13,30.4,78,39.0,30.2,Thunderstorm
WTH_1385,PRJ_112,2025-08-29,40.7,47,0.0,16.1,Cloudy
WTH_1386,PRJ_103,2025-07-27,24.2,87,0.0,27.8,Sunny
WTH_1387,PRJ_110,2025-09-26,36.1,52,0.0,29.5,Sunny
WTH_1388,PRJ_110,2025-07-09,37.7,54,83.5,34.0,Heavy Rain
WTH_1389,PRJ_100,2025-07-06,32.4,85,0.0,11.3,Windy
WTH_1390,PRJ_103,2025-09-14,34.9,47,52.7,19.8,Thunderstorm
WTH_1391,PRJ_108,2025-06-25,35.2,76,0.0,22.0,Windy
WTH_1392,PRJ_101,2025-08-15,26.2,44,29.5,22.1,Heavy Rain
WTH_1393,PRJ_103,2025-09-21,32.9,90,24.4,25.3,Thunderstorm
WTH_1394,PRJ_111,2025-08-26,33.1,56,0.0,31.5,Windy
WTH_1395,PRJ_100,2025-09-29,31.3,83,0.0,30.6,Sunny
WTH_1396,PRJ_105,2025-07-26,38.4,66,19.1,20.5,Thunderstorm
