Estimate_ID,Project_ID,Cement_Bags,Steel_kg,Sand_tons,Aggregate_tons,Bricks,Paint_Liters,Tiles_sqft,Estimated_Material_Cost
EST_600,PRJ_100,64642,551618,2597.26,4337.85,480174,21428,83963,88236107.0
EST_601,PRJ_100,59163,439804,1357.05,3298.53,326598,17270,89087,72174917.0
EST_602,PRJ_100,51729,504731,1520.02,3167.5,419210,15647,95278,74142033.0
EST_603,PRJ_100,50822,548639,2367.46,2783.47,405617,15001,77937,76890557.0
EST_604,PRJ_100,28862,266114,1114.31,1391.1,172185,7709,42951,39161519.0
EST_605,PRJ_100,8465,91263,210.46,490.99,54752,2883,15631,12543446.0
EST_606,PRJ_100,17904,163881,474.98,1000.79,160980,4345,27387,24237620.0
EST_607,PRJ_101,10450,96746,500.58,767.75,72798,3349,18584,15251093.0
EST_608,PRJ_101,51502,423891,1514.98,2852.76,332247,12453,56727,64914688.0
EST_609,PRJ_101,33943,367882,1642.91,1793.58,220808,13201,60660,52360506.0
EST_610,PRJ_101,44518,396678,1254.4,2333.72,374054,11859,54893,58896932.0
EST_611,PRJ_101,56584,415480,1852.55,2361.25,382868,19051,63505,68718121.0
EST_612,PRJ_101,7126,64596,179.62,443.36,47834,2694,13262,9905378.0
EST_613,PRJ_101,17775,161592,730.27,1199.24,144648,4666,32134,25190572.0
EST_614,PRJ_101,38607,349945,1357.14,2015.38,351796,14494,57786,53847879.0
EST_615,PRJ_102,37788,297853,1557.66,1815.28,193904,14855,64361,49589133.0
EST_616,PRJ_102,54681,422950,2036.5,2342.76,434888,11842,60107,67244508.0
EST_617,PRJ_102,62179,629811,1679.83,4218.01,295045,25691,101762,90587689.0
EST_618,PRJ_102,60119,480946,1611.88,3765.24,340886,23579,86705,78194712.0
EST_619,PRJ_102,8282,83904,211.64,446.97,60949,2102,12470,11609988.0
EST_620,PRJ_102,35038,313677,1274.19,1660.12,156102,10465,43874,46187129.0
EST_621,PRJ_102,62405,623023,2529.57,3261.01,397929,28673,116233,92838583.0
EST_622,PRJ_103,25945,229928,840.17,1518.91,125009,10497,27552,34798788.0
EST_623,PRJ_103,4096,37302,152.73,181.25,24081,1586,5527,5579124.0
EST_624,PRJ_103,32500,261172,826.69,2046.24,194781,13452,54310,42880811.0
EST_625,PRJ_103,43407,396080,1093.88,2338.32,386773,14807,80547,60144967.0
EST_626,PRJ_103,56693,540162,2010.11,3185.9,416376,17730,86159,79683106.0
