Budget_ID,Project_ID,Category,Allocated_Budget,Spent,Remaining,Last_Updated
BDG_1500,PRJ_108,Labor Wages,3750000,1873022.81,1876977.19,2025-12-10
BDG_1501,PRJ_107,Equipment Rental,5300000,3658320.79,1641679.21,2025-12-16
BDG_1502,PRJ_101,Equipment Rental,2200000,1871334.39,328665.61,2025-12-07
BDG_1503,PRJ_102,Labor Wages,550000,62411.79,487588.21,2025-12-17
BDG_1504,PRJ_111,Equipment Rental,6750000,3542285.41,3207714.59,2025-12-14
BDG_1505,PRJ_106,Equipment Rental,5400000,3315754.82,2084245.18,2025-12-21
BDG_1506,PRJ_109,Material Procurement,5700000,5866722.49,-166722.49,2025-12-30
BDG_1507,PRJ_101,Permits & Legal,2550000,775046.01,1774953.99,2025-12-14
BDG_1508,PRJ_104,Equipment Rental,7000000,5912094.22,1087905.78,2025-12-21
BDG_1509,PRJ_111,Equipment Rental,1200000,940141.98,259858.02,2025-12-30
BDG_1510,PRJ_106,Labor Wages,3600000,2165802.61,1434197.39,2025-12-30
BDG_1511,PRJ_113,Equipment Rental,850000,707493.24,142506.76,2025-12-21
BDG_1512,PRJ_102,Equipment Rental,6300000,6876314.44,-576314.44,2025-12-05
BDG_1513,PRJ_104,Labor Wages,2550000,288033.35,2261966.65,2025-12-25
BDG_1514,PRJ_101,Permits & Legal,5550000,4669621.6,880378.4,2025-12-29
BDG_1515,PRJ_101,Overheads & Contingency,2900000,2957438.78,-57438.78,2025-12-06
BDG_1516,PRJ_113,Permits & Legal,3700000,3057785.96,642214.04,2025-12-17
BDG_1517,PRJ_108,Permits & Legal,4400000,3830772.48,569227.52,2025-12-25
BDG_1518,PRJ_114,Material Procurement,1850000,1420780.13,429219.87,2025-12-25
BDG_1519,PRJ_112,Equipment Rental,2300000,879686.53,1420313.47,2025-12-07
BDG_1520,PRJ_114,Permits & Legal,4400000,469661.82,3930338.18,2025-12-06
BDG_1521,PRJ_113,Permits & Legal,500000,100857.1,399142.9,2025-12-25
BDG_1522,PRJ_111,Permits & Legal,7200000,3871327.97,3328672.03,2025-12-10
BDG_1523,PRJ_111,Permits & Legal,2650000,755836.61,1894163.39,2025-12-06
BDG_1524,PRJ_111,Labor Wages,3000000,1832384.47,1167615.53,2025-12-17
BDG_1525,PRJ_101,Permits & Legal,3200000,943743.82,2256256.18,2025-12-02
BDG_1526,PRJ_111,Labor Wages,2950000,1098342.56,1851657.44,2025-12-29
BDG_1527,PRJ_113,Permits & Legal,6100000,4624893.42,1475106.58,2025-12-20
BDG_1528,PRJ_101,Labor Wages,1500000,611672.8,888327.2,2025-12-13
BDG_1529,PRJ_101,Equipment Rental,1300000,597037.37,702962.63,2025-12-19
BDG_1530,PRJ_103,Permits & Legal,6700000,5403180.31,1296819.69,2025-12-04
BDG_1531,PRJ_100,Material Procurement,3900000,3468615.66,431384.34,2025-12-01
BDG_1532,PRJ_110,Overheads & Contingency,1000000,201683.94,798316.06,2025-12-17
BDG_1533,PRJ_112,Material Procurement,5300000,3885610.81,1414389.19,2025-12-31
BDG_1534,PRJ_112,Equipment Rental,6700000,3999185.59,2700814.41,2025-12-11
BDG_1535,PRJ_109,Permits & Legal,4800000,2348757.02,2451242.98,2025-12-29
BDG_1536,PRJ_105,Equipment Rental,3550000,3862544.13,-312544.13,2025-12-22
BDG_1537,PRJ_106,Permits & Legal,1200000,1348884.38,-148884.38,2025-12-28
BDG_1538,PRJ_105,Material Procurement,500000,289882.61,210117.39,2025-12-23
BDG_1539,PRJ_106,Labor Wages,800000,585603.71,214396.29,2025-12-28
BDG_1540,PRJ_108,Equipment Rental,3650000,1777007.57,1872992.43,2025-12-20
BDG_1541,PRJ_110,Permits & Legal,7050000,3763169.6,3286830.4,2025-12-07
BDG_1542,PRJ_100,Equipment Rental,700000,535826.32,164173.68,2025-12-28
BDG_1543,PRJ_100,Equipment Rental,6150000,2123204.99,4026795.01,2025-12-16
BDG_1544,PRJ_106,Overheads & Contingency,1500000,698625.98,801374.02,2025-12-31
BDG_1545,PRJ_114,Permits & Legal,1750000,1524235.35,225764.65,2025-12-10
BDG_1546,PRJ_109,Labor Wages,2300000,2330708.82,-30708.82,2025-12-29
BDG_1547,PRJ_109,Overheads & Contingency,900000,210828.98,689171.02,2025-12-26
BDG_1548,PRJ_101,Equipment Rental,7500000,8524354.42,-1024354.42,2025-12-15
BDG_1549,PRJ_102,Permits & Legal,1950000,1182240.1,767759.9,2025-12-18
BDG_1550,PRJ_103,Labor Wages,3200000,892654.92,2307345.08,2025-12-31
BDG_1551,PRJ_110,Material Procurement,1850000,1029780.44,820219.56,2025-12-23
BDG_1552,PRJ_100,Labor Wages,4650000,4872181.39,-222181.39,2025-12-25
BDG_1553,PRJ_104,Labor Wages,3750000,2997109.93,752890.07,2025-12-31
BDG_1554,PRJ_114,Material Procurement,2200000,2351520.59,-151520.59,2025-12-21
BDG_1555,PRJ_111,Permits & Legal,1650000,1543273.85,106726.15,2025-12-11
BDG_1556,PRJ_113,Labor Wages,1300000,1009041.63,290958.37,2025-12-13
BDG_1557,PRJ_114,Permits & Legal,6050000,5740662.63,309337.37,2025-12-08
BDG_1558,PRJ_104,Material Procurement,4200000,806670.3,3393329.7,2025-12-03
BDG_1559,PRJ_105,Overheads & Contingency,2900000,2557361.06,342638.94,2025-12-04
BDG_1560,PRJ_109,Equipment Rental,2100000,2091593.33,8406.67,2025-12-31
BDG_1561,PRJ_106,Overheads & Contingency,500000,213169.43,286830.57,2025-12-19
BDG_1562,PRJ_108,Labor Wages,5450000,6152188.75,-702188.75,2025-12-11
BDG_1563,PRJ_112,Equipment Rental,2100000,1356051.8,743948.2,2025-12-20
BDG_1564,PRJ_109,Labor Wages,1850000,952894.31,897105.69,2025-12-18
BDG_1565,PRJ_113,Permits & Legal,4500000,1133711.22,3366288.78,2025-12-31
BDG_1566,PRJ_104,Labor Wages,6850000,5575762.78,1274237.22,2025-12-05
BDG_1567,PRJ_109,Equipment Rental,2350000,2078370.38,271629.62,2025-12-28
BDG_1568,PRJ_112,Material Procurement,4550000,1930728.79,2619271.21,2025-12-23
BDG_1569,PRJ_101,Equipment Rental,6600000,5033364.11,1566635.89,2025-12-07
BDG_1570,PRJ_107,Equipment Rental,5300000,857292.05,4442707.95,2025-12-26
BDG_1571,PRJ_105,Labor Wages,3150000,3119991.36,30008.64,2025-12-30
BDG_1572,PRJ_112,Labor Wages,1150000,1229713.11,-79713.11,2025-12-25
BDG_1573,PRJ_102,Permits & Legal,5500000,2277312.76,3222687.24,2025-12-27
BDG_1574,PRJ_110,Labor Wages,750000,506505.04,243494.96,2025-12-11
BDG_1575,PRJ_106,Permits & Legal,4950000,4433219.48,516780.52,2025-12-13
BDG_1576,PRJ_101,Overheads & Contingency,4100000,1625577.38,2474422.62,2025-12-30
BDG_1577,PRJ_103,Overheads & Contingency,5500000,1112020.5,4387979.5,2025-12-11
BDG_1578,PRJ_112,Overheads & Contingency,1150000,1141145.24,8854.76,2025-12-23
BDG_1579,PRJ_104,Permits & Legal,2550000,1800338.96,749661.04,2025-12-15
BDG_1580,PRJ_111,Permits & Legal,4200000,4376731.76,-176731.76,2025-12-07
BDG_1581,PRJ_103,Labor Wages,600000,288202.24,311797.76,2025-12-28
BDG_1582,PRJ_109,Material Procurement,2350000,1164151.42,1185848.58,2025-12-14
BDG_1583,PRJ_110,Labor Wages,1200000,241020.14,958979.86,2025-12-16
BDG_1584,PRJ_102,Material Procurement,2000000,2258581.2,-258581.2,2025-12-21
BDG_1585,PRJ_105,Overheads & Contingency,6050000,6765190.6,-715190.6,2025-12-21
BDG_1586,PRJ_111,Permits & Legal,3600000,488492.89,3111507.11,2025-12-08
BDG_1587,PRJ_106,Permits & Legal,4350000,3577367.4,772632.6,2025-12-31
BDG_1588,PRJ_102,Permits & Legal,1600000,1466587.76,133412.24,2025-12-28
BDG_1589,PRJ_113,Permits & Legal,4000000,3055800.76,944199.24,2025-12-15
BDG_1590,PRJ_105,Material Procurement,2000000,444918.03,1555081.97,2025-12-04
BDG_1591,PRJ_107,Overheads & Contingency,3350000,415996.63,2934003.37,2025-12-19
BDG_1592,PRJ_109,Permits & Legal,4000000,3313648.58,686351.42,2025-12-04
BDG_1593,PRJ_112,Overheads & Contingency,2800000,1408842.04,1391157.96,2025-12-21
BDG_1594,PRJ_111,Permits & Legal,4300000,3009975.29,1290024.71,2025-12-04
BDG_1595,PRJ_105,Material Procurement,7350000,2161887.41,5188112.59,2025-12-27
BDG_1596,PRJ_111,Material Procurement,5500000,3761247.45,1738752.55,2025-12-18
BDG_1597,PRJ_112,Overheads & Contingency,6750000,1128115.66,5621884.34,2025-12-27
BDG_1598,PRJ_109,Overheads & Contingency,2050000,1826926.43,223073.57,2025-12-07
BDG_1599,PRJ_110,Material Procurement,2800000,2814290.12,-14290.12,2025-12-23
BDG_1600,PRJ_102,Material Procurement,6200000,5831339.45,368660.55,2025-12-04
BDG_1601,PRJ_100,Labor Wages,3100000,2434344.83,665655.17,2025-12-03
BDG_1602,PRJ_108,Equipment Rental,900000,169956.76,730043.24,2025-12-04
BDG_1603,PRJ_108,Equipment Rental,5150000,5740138.36,-590138.36,2025-12-06
BDG_1604,PRJ_106,Material Procurement,3650000,1517049.41,2132950.59,2025-12-31
